"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3927","60","233","3.45989815","1.617E-4","0.28902585","0.0","5","6","false","P01130","171.0","5","0","0","0.72667798","false","0","P01130","315312","0.21491783"
"3928","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q86UV6","196.0","1","0","0","0.68390032","false","0","Q86UV6","0","0.0"
"3929","50","149","3.6663484","1.525E-5","0.27275095","0.0","2","7","false","P14555","204.0","2","0","0","0.70373907","false","0","P14555","40844","0.51005025"
"3930","50","151","3.69669001","2.299E-5","0.27051227","0.0","3","6","false","P19474","136.66666667","3","0","0","0.70036778","false","0","P19474","42488","0.34608844"
"3931","75","337","3.53034161","2.022E-5","0.28325871","0.66666667","6","6","false","Q9Y3C5","163.33333333","6","0","0","0.71885093","false","0","Q9Y3C5","96864","0.29084967"
"3932","70","325","3.52631021","5.06E-5","0.28358254","0.2","5","6","false","A3KFJ1","186.8","5","0","0","0.71929887","false","0","A3KFJ1","171606","0.24688742"
"3933","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","P51787","196.0","1","0","0","0.68390032","false","0","P51787","0","0.0"
"3934","45","136","3.7637386","2.57E-6","0.26569327","0.0","2","7","false","Q9NZV7","172.0","2","0","0","0.69291793","false","0","Q9NZV7","16222","0.56065574"
"3935","35","105","3.83280289","1.56E-6","0.26090567","0.0","2","7","false","Q08043","118.0","2","0","0","0.68524412","false","0","Q08043","4864","0.52941176"
"3936","50","154","3.65680034","7.69E-6","0.27346311","0.0","2","6","false","Q674X7","200.0","2","0","0","0.70479996","false","0","Q674X7","24306","0.51025641"
"3937","35","107","3.76946743","1.017E-5","0.26528947","0.0","2","7","false","Q9H596","127.5","2","0","0","0.6922814","false","0","Q9H596","18404","0.506"
"3938","65","260","3.5122003","4.717E-5","0.2847218","0.1","5","6","false","Q8TD16","170.0","5","0","0","0.72086663","false","0","Q8TD16","165784","0.240625"
"3939","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q5VZ52","196.0","1","0","0","0.68390032","false","0","Q5VZ52","0","0.0"
"3940","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q03169","196.0","1","0","0","0.68390032","false","0","Q03169","0","0.0"
"3941","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q8HWS3","196.0","1","0","0","0.68390032","false","0","Q8HWS3","0","0.0"
"3942","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","A6NLX3","196.0","1","0","0","0.68390032","false","0","A6NLX3","0","0.0"
"3943","50","155","3.73286654","1.661E-5","0.26789064","0.33333333","3","7","false","Q96MT8","151.66666667","3","0","0","0.69634816","false","0","Q96MT8","36288","0.38023451"
"3944","35","109","3.71631657","2.29E-6","0.26908364","0.0","2","7","false","Q8WWB3","131.5","2","0","0","0.69818705","false","0","Q8WWB3","8774","0.53703704"
"3945","45","136","3.7637386","2.57E-6","0.26569327","0.0","2","7","false","A6NC98","172.0","2","0","0","0.69291793","false","0","A6NC98","16222","0.56065574"
"3946","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q86U10","196.0","1","0","0","0.68390032","false","0","Q86U10","0","0.0"
"3947","45","136","3.7637386","2.57E-6","0.26569327","0.0","2","7","false","Q9ULU8","172.0","2","0","0","0.69291793","false","0","Q9ULU8","16222","0.56065574"
"3948","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q2M204","196.0","1","0","0","0.68390032","false","0","Q2M204","0","0.0"
"3949","50","172","3.53713134","1.459E-5","0.28271498","0.0","2","7","false","Q14451","241.0","2","0","0","0.71809652","false","0","Q14451","39334","0.50955414"
"3950","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q6MZQ0","196.0","1","0","0","0.68390032","false","0","Q6MZQ0","0","0.0"
"3951","40","119","3.75419054","1.605E-5","0.26636901","0.0","2","6","false","Q9BSW2","146.0","2","0","0","0.69397883","false","0","Q9BSW2","19088","0.5017301"
