"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"270","90","417","3.2343965","0.00197927","0.30917669","0.0320197","29","6","false","P04626","61.31034483","29","0","0","0.72070044","false","0","P04626","2648122","0.04413091"
"272","5","20","4.10419012","0.0","0.24365343","0.0","1","7","false","C9J075","39.0","1","0","0","0.61197624","false","0","C9J075","0","0.0"
"274","5","20","4.10419012","0.0","0.24365343","0.0","1","7","false","P05452","39.0","1","0","0","0.61197624","false","0","P05452","0","0.0"
"276","5","20","4.10419012","0.0","0.24365343","0.0","1","7","false","P18827","39.0","1","0","0","0.61197624","false","0","P18827","0","0.0"
"278","50","127","3.71532208","0.0","0.26915567","1.0","3","6","false","P42772","150.66666667","3","0","0","0.66058474","false","0","P42772","0","0.37201646"
"280","60","183","3.58386492","2.723E-5","0.27902837","0.33333333","3","6","false","P08581","189.0","3","0","0","0.67701689","false","0","P08581","58656","0.35868188"
"282","95","512","2.94484053","0.005957","0.33957696","0.00738916","29","5","false","P01116","118.20689655","29","0","0","0.75689493","false","0","P01116","8487358","0.04996332"
"284","80","332","3.28255159","6.1574E-4","0.30464106","0.07692308","14","6","false","Q8N726","88.07142857","14","0","0","0.71468105","false","0","Q8N726","597124","0.0873095"
"286","55","155","3.6641651","3.0165E-4","0.27291347","0.0","9","6","false","Q9Y5Y6","57.11111111","9","0","0","0.66697936","false","0","Q9Y5Y6","318400","0.12496907"
"288","5","21","4.07879925","6.33E-6","0.24517019","0.0","2","6","false","O60687","21.0","2","0","0","0.61515009","false","0","O60687","2536","0.5"
"290","60","196","3.48542839","2.723E-5","0.28690878","0.66666667","4","6","false","P22455","204.5","4","0","0","0.68932145","false","0","P22455","58656","0.28090659"
"292","75","293","3.38311445","3.1526E-4","0.29558563","0.0","5","6","false","O15151","205.2","5","0","0","0.70211069","false","0","O15151","412062","0.21051546"
"294","85","417","3.26341463","2.7192E-4","0.3064275","0.1","5","5","false","P04004","258.0","5","0","0","0.71707317","false","0","P04004","379804","0.20995106"
"296","90","467","3.12470294","0.00343782","0.32003042","0.01724138","29","5","false","P02751","73.4137931","29","0","0","0.73441213","false","0","P02751","4233442","0.04365194"
"298","60","197","3.4796748","3.7566E-4","0.28738318","0.02222222","10","6","false","P34741","56.8","10","0","0","0.69004065","false","0","P34741","405546","0.10626186"
"300","45","108","3.7633521","2.1502E-4","0.26572055","0.0","7","6","false","P05981","51.42857143","7","0","0","0.65458099","false","0","P05981","187384","0.16479925"
"302","60","189","3.71419637","1.48E-5","0.26923725","0.0","2","6","false","P52564","209.0","2","0","0","0.66072545","false","0","P52564","17756","0.50363196"
"304","95","486","2.85791119","0.00304068","0.3499059","0.07608696","24","5","false","P38398","180.20833333","24","0","0","0.7677611","false","0","P38398","5084808","0.06201183"
"306","60","194","3.41325829","6.5502E-4","0.29297519","0.0","19","6","false","Q9Y680","12.05263158","19","0","0","0.69834271","false","0","Q9Y680","697354","0.05879059"
"308","65","209","3.52270169","2.7299E-4","0.28387303","0.3","5","6","false","Q15831","173.2","5","0","0","0.68466229","false","0","Q15831","281824","0.22153846"
"310","55","164","3.61400876","9.515E-5","0.27670105","0.3","5","6","false","P04049","122.8","5","0","0","0.67324891","false","0","P04049","92432","0.22458716"
"312","5","20","4.10419012","0.0","0.24365343","0.0","1","7","false","P80188","39.0","1","0","0","0.61197624","false","0","P80188","0","0.0"
"314","50","127","3.71532208","0.0","0.26915567","1.0","3","6","false","P35240","150.66666667","3","0","0","0.66058474","false","0","P35240","0","0.37201646"
"316","65","212","3.47754847","5.363E-5","0.2875589","0.5","5","6","false","P29317","179.0","5","0","0","0.69030644","false","0","P29317","103500","0.23037323"
"318","5","20","4.10419012","0.0","0.24365343","0.0","1","7","false","P03951","39.0","1","0","0","0.61197624","false","0","P03951","0","0.0"
"320","55","174","3.56885553","9.327E-5","0.28020187","0.3","5","6","false","Q9NRM7","131.8","5","0","0","0.67889306","false","0","Q9NRM7","110792","0.22195946"
"322","15","34","4.00325203","2.666E-5","0.24979691","0.0","2","7","false","Q04756","47.0","2","0","0","0.6245935","false","0","Q04756","35558","0.50549451"
"324","85","417","3.20963102","2.0952E-4","0.31156229","0.33333333","6","5","false","P27540","288.0","6","0","0","0.72379612","false","0","P27540","524126","0.19163338"
"326","95","582","2.99174484","0.00243134","0.3342531","0.00967937","58","5","false","P61981","54.46551724","58","0","0","0.75103189","false","0","P61981","5469666","0.02709235"
"328","95","664","2.9358349","0.01583746","0.34061861","0.00659459","162","6","false","Q00534","11.98765432","162","0","0","0.75802064","false","0","Q00534","25003702","0.01189922"
"330","95","678","2.82138837","0.0406724","0.35443543","0.00414343","251","5","false","P16234","11.23904382","251","0","0","0.77232645","false","0","P16234","37655010","0.00658722"
"332","30","65","3.88993121","6.88E-6","0.25707395","0.0","2","6","false","S4R3G7","81.0","2","0","0","0.6387586","false","0","S4R3G7","8688","0.51282051"
"334","90","437","3.13445904","0.00230061","0.31903432","0.02116402","28","5","false","Q8TBB1","84.25","28","0","0","0.73319262","false","0","Q8TBB1","3804758","0.04793988"
"336","90","417","3.11744841","0.00274803","0.32077516","0.02164502","22","5","false","P25786","117.54545455","22","0","0","0.73531895","false","0","P25786","4261284","0.06147482"
"338","60","196","3.74746717","1.1771E-4","0.2668469","0.11111111","10","6","false","Q8TD31","60.9","10","0","0","0.6565666","false","0","Q8TD31","217900","0.1244856"
"340","90","417","3.24227642","0.00123154","0.30842528","0.02769231","26","5","false","Q9BRK4","64.69230769","26","0","0","0.71971545","false","0","Q9BRK4","2090000","0.04941671"
"342","95","482","3.06203877","0.00223587","0.3265798","0.02673797","34","5","false","Q08379","72.64705882","34","0","0","0.74224515","false","0","Q08379","3390734","0.03913585"
"344","90","417","3.2068793","5.8924E-4","0.31182963","0.04210526","20","6","false","P14373","76.6","20","0","0","0.72414009","false","0","P14373","1009264","0.06310116"
"346","50","133","3.89043152","1.231E-5","0.2570409","0.0","2","6","false","P50221","220.5","2","0","0","0.63869606","false","0","P50221","53202","0.55429293"
"348","80","350","3.191995","4.6719E-4","0.3132837","0.0513834","23","5","false","Q9Y250","37.69565217","23","0","0","0.72600063","false","0","Q9Y250","635482","0.0531401"
"350","55","158","3.68130081","3.671E-5","0.27164311","0.0","2","6","false","Q15323","274.0","2","0","0","0.6648374","false","0","Q15323","94666","0.51315789"
"352","65","223","3.50819262","4.1014E-4","0.28504706","0.06666667","6","6","false","Q5W5X9","190.83333333","6","0","0","0.68647592","false","0","Q5W5X9","683356","0.19767845"
"354","95","480","3.07717323","0.00208547","0.32497358","0.03453453","37","5","false","Q9P2K3","39.18918919","37","0","0","0.74035335","false","0","Q9P2K3","2322636","0.03841106"
"356","65","220","3.50631645","4.0507E-4","0.28519959","0.0","4","6","false","Q9BYV2","221.75","4","0","0","0.68671044","false","0","Q9BYV2","414926","0.268226"
"358","70","285","3.43076923","3.2514E-4","0.29147982","0.06666667","6","6","false","A0A1B0GV97","215.33333333","6","0","0","0.69615385","false","0","A0A1B0GV97","747610","0.19409283"
"360","80","356","3.2681676","8.6571E-4","0.30598186","0.04395604","14","6","false","Q9BVG8","117.35714286","14","0","0","0.71647905","false","0","Q9BVG8","1470932","0.08887802"
"362","55","181","3.64315197","1.1186E-4","0.27448759","0.0","4","6","false","O95995","179.0","4","0","0","0.669606","false","0","O95995","261898","0.27769111"
