IDa	IDb
Q9UI12	P61421
Q9UI12	Q9BYD6
P30876	O95602
P30876	P46782
P30876	P19388
P30876	P61218
P30876	P19387
P30876	P36954
P30876	Q9H9Y6
P30876	P68366
P30876	P57772
P30876	O15514
P30876	P53803
P30876	O14802
P30876	P68104
P30876	P52434
P30876	P62875
P30876	A0A6Q8PGB0
P30876	P68371
P30876	P13984
P30876	P07437
P30876	O00267
Q8WZ64	O15085
P12270	Q5JTH9
P12270	P29692
P12270	P57740
P12270	Q05519
P12270	Q9UBU9
P12270	P31948
P12270	P35754
P12270	Q6DD88
Q96EV8	O14579
Q96EV8	P61923
Q96EV8	O95295
P27816	Q9H2G2
P27816	O75369
P27816	Q8NC51
P27816	P62310
P08922	P62993
P82664	P46782
P82664	P15880
P82664	P62913
P82664	Q96A35
P82664	P62750
P82664	P62269
Q5THJ4	P62191
Q5THJ4	P30153
Q15293	Q8IX12
Q15293	Q99714
Q15293	P06733
Q15293	Q00325
Q15293	P15311
Q15293	P60660
Q15293	Q15185
Q15293	P61604
Q15293	P04844
Q15293	P27824
Q15293	P35241
Q15293	P26038
Q15293	O14967
Q15293	O95757
Q15293	P55072
Q15293	P14625
Q15293	P08574
Q15293	P27797
Q15293	P07237
Q15293	Q96P70
Q15293	Q9H009
P35250	P62333
P35250	P40937
P35250	P40938
P35250	P35249
P35250	P17980
P35250	Q9BRX5
Q8NFD5	Q96GM5
Q8NFD5	Q969G3
Q8NFD5	P51531
Q8NFD5	Q6STE5
Q8NFD5	Q8WUZ0
Q8NFD5	Q12824
Q8NFD5	Q9BQE9
Q8NFD5	Q92925
Q8NFD5	Q4VC05
Q8NFD5	O14497
Q8NFD5	P51532
Q8NFD5	Q92785
Q8NFD5	Q8TAQ2
Q8NFD5	Q15532
Q8NFD5	Q92922
Q8NFD5	Q92784
Q5URX0	Q9P246
Q5URX0	Q13586
Q5URX0	P62993
P45984	P35813
P45984	O00506
P45984	Q9P289
P42338	P31751
P42338	P31749
P42338	P27986
Q96J01	Q96FV9
Q96J01	Q13769
Q96J01	Q8NI27
Q96J01	Q86W42
Q96J01	Q6I9Y2
Q96J01	Q13177
Q5JTH9	Q9Y2X3
Q5JTH9	Q9GZR7
Q5JTH9	P39023
Q5JTH9	O14744
Q5JTH9	Q9NZM5
Q5JTH9	Q8TDN6
Q5JTH9	Q9Y4C8
Q5JTH9	Q96EU6
Q5JTH9	Q9BY44
Q5JTH9	Q9BYG3
Q5JTH9	O60841
Q5JTH9	Q2NL82
Q5JTH9	O76021
Q5JTH9	Q8WTT2
Q5JTH9	O76094
Q5JTH9	Q92522
Q5JTH9	Q9Y3T9
O43488	Q9UNI6
O43488	P62191
O43488	P10599
Q9UKD2	Q9Y3B9
Q9UKD2	Q15397
Q9UKD2	Q9GZR7
Q9UKD2	O00541
Q9UKD2	P55769
Q9UKD2	P22087
Q9UKD2	Q9BZE4
Q9UKD2	Q8IY81
Q9UKD2	Q15029
Q9UKD2	Q13601
Q9UKD2	P46087
Q9UKD2	Q8TDN6
Q9UKD2	Q9BSC4
Q9UKD2	Q99848
Q9UKD2	P46777
Q9UKD2	P20042
Q9UKD2	P61353
Q9UKD2	Q13823
Q9UKD2	Q9NY93
Q9UKD2	Q9GZL7
Q9UKD2	Q9BYG3
Q9UKD2	O95478
Q9UKD2	Q9BYD6
Q9UKD2	Q969S3
Q9UKD2	Q9Y3T9
Q9UKD2	O00267
Q9UKD2	Q9NVU7
Q9UKD2	P62906
Q9UJX5	Q9UJX4
Q9UJX5	Q9UJX2
Q9UJX5	Q13042
Q9UJX5	Q9H1A4
Q9UJX5	Q9UM13
Q9UJX5	Q96DE5
Q9UJX5	Q9UJX6
Q9UJX5	Q8NHZ8
Q9UJX5	ENSG00000196510
O43617	Q8IUR0
O43617	Q86SZ2
O43617	Q9Y296
Q9Y2W1	P39019
Q9Y2W1	Q08945
Q9Y2W1	Q9UHX1
Q9Y2W1	Q15287
Q9NRX4	Q15257
Q9NRX4	P29218
Q9NRX4	P62820
Q9NRX4	O94903
Q9NRX4	Q9BW91
Q9NRX4	Q9H477
Q9NRX4	Q6ZNW5
Q9NRX4	Q9Y296
Q4LE39	Q9H0E3
Q4LE39	O75446
Q4LE39	Q96ST3
Q4LE39	P62854
Q8WXH0	P52888
O75110	A0A024R968
O75110	O15438
O75110	P11310
Q9Y2X3	Q15397
Q9Y2X3	Q9NVP1
