IDa	IDb
UNKNOWN	O60925
UNKNOWN	Q92673
UNKNOWN	P61758
UNKNOWN	Q99471
UNKNOWN	P12110
UNKNOWN	O15212
UNKNOWN	Q5HYA8
UNKNOWN	P01130
UNKNOWN	Q9NZR2
UNKNOWN	Q01459
UNKNOWN	O75096
P58511	Q3ZAQ7
P58511	P06576
P58511	Q9C0H2
P50151	P16520
P50151	P62873
P50151	P62879
P50151	Q9HAV0
P50151	P63092
P50151	P08754
P50151	P09471
P50151	P63096
P50151	P19086
P50151	P29992
P50151	P50148
P50151	Q14344
P50151	Q13371
P63218	P63092
P63218	P08754
P63218	P63096
P63218	P50148
P63218	Q14344
P63218	Q8N4J0
P63218	Q13371
P63218	P62873
P63218	Q9HAV0
P63218	P62879
P63218	O14775
Q9Y5L5	Q9NW13
Q9Y5L5	O75367
Q9Y5L5	P16402
Q9Y5L5	P16403
Q9Y5L5	Q02539
Q9Y5L5	Q7Z7K6
Q9Y5L5	Q9HAN9
Q9Y5L5	Q2TB10
Q9Y5L5	Q8WXF0
O75394	P67809
O75394	P52815
O75394	Q9BRJ2
O75394	Q9BYD2
O75394	Q9NYK5
O75394	Q7Z7H8
O75394	Q96A35
O75394	Q8N5N7
O75394	Q9NWU5
O75394	Q9P0M9
O75394	Q9HD33
O75394	Q14197
O75394	Q5T653
O75394	Q9BYD1
O75394	Q9BYD3
O75394	Q9NZE8
O75394	Q8TCC3
O75394	Q9NVS2
O75394	Q9Y6G3
O75394	Q9BYC9
O75394	Q9H0U6
O75394	Q9NP92
O75394	Q16540
O75394	Q4U2R6
Q9BS18	Q13042
Q9BS18	Q96DE5
Q9BS18	Q9UJX5
Q9BS18	Q9H1A4
Q9BS18	Q9UJX2
Q9BS18	Q9UM11
Q9BS18	Q9UJX6
Q9BS18	Q8NHZ8
Q9BS18	Q9UKT4
Q9BS18	Q9UM13
Q9BS18	Q9UJX4
Q9BS18	P30260
Q9BS18	Q9UJX3
UNKNOWN	Q3ZAQ7
UNKNOWN	Q9Y487
UNKNOWN	Q93050
