Human Herpes
Q8TAA9 Herpes_target
Q8TBK6 Herpes_target
Q8TBX8 Herpes_target
Q8TCG1 Herpes_target
Q8WUD6 Herpes_target
Q8WV44 Herpes_target
Q8WWI1 Herpes_target
Q8WY36 Herpes_target
Q8WYA0 Herpes_target
Q92791 Herpes_target
Q92882 Herpes_target
Q92901 Herpes_target
Q93050 Herpes_target
Q969S3 Herpes_target
Q96B36 Herpes_target
Q96BQ5 Herpes_target
Q96C12 Herpes_target
Q96C92 Herpes_target
Q96DE5 Herpes_target
Q96EE4 Herpes_target
Q96EL2 Herpes_target
Q96ER3 Herpes_target
Q96FX7 Herpes_target
Q96GY0 Herpes_target
Q96IZ0 Herpes_target
Q96JB5 Herpes_target
Q96JN8 Herpes_target
Q96KP1 Herpes_target
Q96MW5 Herpes_target
Q96N66 Herpes_target
Q96P47 Herpes_target
Q96PD5 Herpes_target
Q96PY6 Herpes_target
Q96PZ0 Herpes_target
Q96QD8 Herpes_target
Q96QT4 Herpes_target
Q96QU8 Herpes_target
Q96RF0 Herpes_target
Q96RR1 Herpes_target
Q99536 Herpes_target
Q99735 Herpes_target
Q99805 Herpes_target
Q9BQ04 Herpes_target
Q9BQ48 Herpes_target
Q9BRP8 Herpes_target
Q9BRQ6 Herpes_target
Q9BRX8 Herpes_target
Q9BTE7 Herpes_target
Q9BTW9 Herpes_target
Q9BV38 Herpes_target
Q9BVX2 Herpes_target
Q9BW72 Herpes_target
Q9BXF6 Herpes_target
Q9BY44 Herpes_target
Q9BY44 Herpes_target
Q9BYC8 Herpes_target
Q9BYJ9 Herpes_target
Q9BZF1 Herpes_target
Q9BZF2 Herpes_target
Q9C0C2 Herpes_target
Q9C0H6 Herpes_target
Q9C0J8 Herpes_target
Q9GZT4 Herpes_target
Q9H0I2 Herpes_target
Q9H1A3 Herpes_target
Q9H2K8 Herpes_target
Q9H3G5 Herpes_target
Q9H4A5 Herpes_target
Q9H4P4 Herpes_target
Q9H5V9 Herpes_target
Q9H6F5 Herpes_target
Q9H6F5 Herpes_target
Q9H7B2 Herpes_target
Q9H871 Herpes_target
Q9H8M7 Herpes_target
Q9H8Y5 Herpes_target
Q9HA64 Herpes_target
Q9HCM4 Herpes_target
Q9HCM4 Herpes_target
Q9NP64 Herpes_target
Q9NP64 Herpes_target
Q9NPF4 Herpes_target
Q9NPG3 Herpes_target
Q9NQH7 Herpes_target
Q9NRL2 Herpes_target
Q9NTJ5 Herpes_target
Q9NUL7 Herpes_target
Q9NUQ6 Herpes_target
Q9NUQ6 Herpes_target
Q9NUW8 Herpes_target
Q9NV70 Herpes_target
Q9NVE7 Herpes_target
Q9NVE7 Herpes_target
Q9NVS2 Herpes_target
Q9NW15 Herpes_target
Q9NW64 Herpes_target
Q9NWU2 Herpes_target
Q9NXF1 Herpes_target
Q9NXV2 Herpes_target
Q9NYF8 Herpes_target
Q9NYU1 Herpes_target
Q9NZC7 Herpes_target
Q9NZC7 Herpes_target
Q9NZI7 Herpes_target
Q9NZL9 Herpes_target
Q9NZM3 Herpes_target
Q9P000 Herpes_target
Q9P031 Herpes_target
Q9P0P0 Herpes_target
Q9P258 Herpes_target
Q9P2J3 Herpes_target
Q9P2N5 Herpes_target
Q9UBU6 Herpes_target
Q9UDY2 Herpes_target
Q9UET6 Herpes_target
Q9UGN5 Herpes_target
Q9UHW5 Herpes_target
Q9UI12 Herpes_target
Q9UIA9 Herpes_target
Q9UIL1 Herpes_target
Q9UIL1 Herpes_target
Q9UIV1 Herpes_target
Q9UJ70 Herpes_target
Q9UKF6 Herpes_target
Q9UL40 Herpes_target
Q9UL63 Herpes_target
Q9ULF5 Herpes_target
Q9ULH0 Herpes_target
Q9ULK5 Herpes_target
Q9ULM3 Herpes_target
Q9ULM6 Herpes_target
Q9UPP1 Herpes_target
Q9UPT5 Herpes_target
Q9UPU5 Herpes_target
Q9UPY6 Herpes_target
Q9UQ13 Herpes_target
Q9Y291 Herpes_target
Q9Y2R0 Herpes_target
Q9Y2Z4 Herpes_target
Q9Y3E0 Herpes_target
Q9Y3E2 Herpes_target
Q9Y4C1 Herpes_target
Q9Y512 Herpes_target
Q9Y5L0 Herpes_target
Q9Y5X1 Herpes_target
Q9Y5X1 Herpes_target
Q9Y6H1 Herpes_target
Q9Y6M9 Herpes_target
Q9Y6Y8 Herpes_target
P27694 Herpes_target
P19525 Herpes_target
O15111 Herpes_target
O14920 Herpes_target
O60684 Herpes_target
Q9UER7 Herpes_target
P36507 Herpes_target
P62993 Herpes_target
P52294 Herpes_target
Q9UBC3 Herpes_target
P05106 Herpes_target
Q86VP6 Herpes_target
P52948 Herpes_target
Q86V81 Herpes_target
O00629 Herpes_target
P29590 Herpes_target
O43395 Herpes_target
Q92985 Herpes_target
Q92985-1 Herpes_target
Q92985 Herpes_target
Q92985 Herpes_target
Q9Y6K1 Herpes_target
P26358 Herpes_target
O60885 Herpes_target
P51608 Herpes_target
P78406 Herpes_target
P27824 Herpes_target
Q6ZU65 Herpes_target
Q9H6T3 Herpes_target
Q7L7L0 Herpes_target
Q9Y2B0 Herpes_target
P14735 Herpes_target
Q12933 Herpes_target
P15336 Herpes_target
P15336 Herpes_target
Q92793 Herpes_target
O00429 Herpes_target
O75787 Herpes_target
O75787 Herpes_target
P24941 Herpes_target
P11802 Herpes_target
