IDa	IDb
Q9NZM3	Q16777
Q9NZM3	Q9BUB5
Q9NZM3	Q9HA38
Q9NZM3	Q9NZM3
Q9NZM3	Q9P287
Q9UL63	Q8TEP8
Q9UL63	Q13423
Q9UL63	Q13506
Q9UL63	Q96S59
Q9UL63	Q9BUB5
Q9UL63	Q9NWU2
Q9UL63	Q9UL63
Q92973	Q8TD31
Q92973	Q9Y2X9
Q92973	Q96TA2
Q92973	Q92552
Q92973	P05023
Q92973	Q9H5H4
Q92973	A0A499FIX8
Q92973	O14975
Q92973	O15269
Q92973	O43294
Q92973	O75947
Q92973	O75964
Q92973	P11216
Q92973	P24539
Q92973	P25098
Q92973	P34897
Q92973	P50570
Q92973	P51648
Q92973	P55084
Q92973	P60468
Q92973	Q5JVF3
Q92973	Q5T0W9
Q92973	Q5T9A4
Q92973	Q8TDD1
Q92973	Q8WUX1
Q92973	Q92973
Q92973	Q969M3
Q92973	Q969P6
Q92973	Q96A33
Q92973	Q96ES7
Q92973	Q96KA5
Q92973	Q99698
Q92973	Q9BRQ6
Q92973	Q9BST9
Q92973	Q9BTV4
Q92973	Q9BXK1
Q92973	Q9H5Q4
Q92973	Q9HBH1
Q92973	Q9NX14
Q92973	Q9NXG0
Q92973	Q9P2R7
Q92973	Q9UBB4
Q92973	Q9UHR4
Q92973	Q9Y3B7
Q92973	Q9Y4W6
Q92973	Q9Y5M8
Q92973	Q9Y6Y0
P41743	P79522
P41743	Q9UJF2
P41743	O95243
P41743	Q6P1M3
P41743	O14925
P41743	O75323
P41743	P11216
P41743	P17036
P41743	F5H8D7
P41743	P25391
P41743	P35052
P41743	P41743
P41743	P50570
P41743	P51648
P41743	P56381
P41743	Q13501
P41743	Q14145
P41743	Q15334
P41743	Q76FK4
P41743	Q7Z7K6
P41743	Q8TEW0
P41743	Q96SY0
P41743	Q9BPW8
P41743	Q9BYG5
P41743	Q9H089
P41743	Q9HC07
P41743	Q9NPB6
P41743	Q9NX00
P41743	Q9Y3B7
P41743	Q9Y676
Q8NC44	P28288
Q8NC44	Q9HC21
Q8NC44	P18859
Q8NC44	O14975
Q8NC44	O75394
Q8NC44	O75947
Q8NC44	P24539
Q8NC44	P25705
Q8NC44	P32119
Q8NC44	P48047
Q8NC44	P63241
Q8NC44	Q08378
Q8NC44	Q86WJ1
Q8NC44	Q8NC44
Q8NC44	Q9Y251
Q96G74	Q8NDA8
Q96G74	Q9BZF9
Q96G74	O95466
