"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Alias","ENTREZID","GO","Path","Evidance","PMID","UNIPROT","ENSEMBL","Symbol"
"KLHL8",484.118172472072,0.455685913890267,0.211060933801451,2.15902538514749,0.030848197581379,0.0751581505460128,"KLHL8","57563",NA,NA,NA,NA,NA,"ENSG00000145332","KLHL8"
"TCTN3",1110.12056884011,-0.279677496406959,0.129552928389195,-2.15878946068104,0.0308665045122064,0.0751930509869025,NA,"26123",NA,NA,NA,NA,"Q6NUS6","ENSG00000119977","TCTN3"
"RGMB",1047.74020215471,0.509327887432421,0.235959772780056,2.15853694649544,0.0308861090816029,0.0752176188739499,NA,"285704",NA,NA,NA,NA,NA,"ENSG00000174136","RGMB"
"ENPP2",502.252349397614,0.993615307398363,0.460318900758275,2.15853684426514,0.0308861170206719,0.0752176188739499,NA,"5168",NA,"00565",NA,NA,NA,"ENSG00000136960","ENPP2"
"WDR17",6.42574586643307,1.5419579450477,0.714366313028546,2.15849756200091,0.0308891677586292,0.0752176188739499,"WDR17","116966",NA,NA,NA,NA,"Q8IZU2","ENSG00000150627","WDR17"
"POU6F2",10.3948243682821,-2.375323143314,1.10047411503235,-2.15845435241716,0.0308925237987227,0.0752176188739499,NA,"11281",NA,NA,NA,NA,"P78424","ENSG00000106536","POU6F2"
"PRODH",1842.71774765721,1.00468158810419,0.465489604711799,2.1583330281376,0.0309019485933766,0.0752308655673204,NA,"5625",NA,NA,NA,NA,"O43272","ENSG00000100033","PRODH"
"SDCBP",4142.36562215625,-0.439032658207362,0.203496575469199,-2.15744494567091,0.0309710124085097,0.0753892814615806,NA,"6386",NA,NA,NA,NA,NA,"ENSG00000137575","SDCBP"
"FGF9",10.8315780526553,-1.01607815994056,0.471051932743976,-2.15704063461047,0.0310024984706988,0.0754561969739282,NA,"2254",NA,NA,NA,NA,"P31371","ENSG00000102678","FGF9"
"KIAA1704",239.791231377951,-0.379740939631071,0.17606870356996,-2.15677705311315,0.0310230398917251,0.075492945546295,NA,NA,NA,NA,NA,NA,NA,NA,"KIAA1704"
"SATB1",564.359963608331,0.620557683419943,0.287728909095691,2.15674429576891,0.0310255935514908,0.075492945546295,NA,"6304",NA,NA,NA,NA,NA,"ENSG00000182568","SATB1"
"UBA1",8877.4709642455,-0.287245425829777,0.133188259586177,-2.15668728401635,0.0310300384390854,0.0754940324451501,NA,"7317",NA,NA,NA,NA,NA,"ENSG00000130985","UBA1"
"CDH22",10.00447600971,-1.44337535794297,0.669292638277343,-2.15656840579929,0.0310393084671021,0.0755068567992555,NA,"64405",NA,NA,NA,NA,NA,"ENSG00000149654","CDH22"
"GRAP",183.889610528445,0.717977509007455,0.332934431777413,2.15651323647855,0.0310436113339367,0.0755075961879933,NA,"10750",NA,NA,NA,NA,NA,"ENSG00000154016","GRAP"
"COL6A4P2",16.1030506182287,0.944695438662466,0.438091027258228,2.15639074960014,0.0310531663853615,0.0755211086667176,NA,"646300",NA,NA,NA,NA,NA,NA,"COL6A4P2"
"FAM63A",298.036312802004,0.532142928585082,0.246785999911208,2.15629301814748,0.0310607921067555,0.0755291561265794,NA,NA,NA,NA,NA,NA,NA,NA,"FAM63A"
"ALG5",882.50074755121,-0.421498820687361,0.195478092977225,-2.15624581899553,0.0310644755046614,0.0755291561265794,NA,"29880",NA,NA,NA,NA,"Q9Y673","ENSG00000120697","ALG5"
"LOC100144603",29.229770350813,-0.631977923503175,0.293190731469637,-2.15551808317864,0.031121315108179,0.075657611931587,NA,NA,NA,NA,NA,NA,NA,NA,"LOC100144603"
"SKI",2713.6880542778,0.345120089245801,0.160127734191201,2.155279914432,0.0311399365867408,0.075693136281004,NA,"6497",NA,NA,NA,NA,"P12755","ENSG00000157933","SKI"
"CRKL",4469.67071418824,-0.345450101647709,0.160295306656636,-2.1550855658406,0.0311551390236943,0.0757203417486672,"CRKL","1399",NA,NA,NA,NA,"P46109","ENSG00000099942","CRKL"
"PMPCB",2294.56764582261,-0.300393491147059,0.139399960132994,-2.15490370915795,0.0311693700798179,0.0757451796457043,NA,"9512",NA,NA,NA,NA,NA,"ENSG00000105819","PMPCB"
"FBXO11",2612.57135660263,-0.226981416995957,0.105368065750627,-2.1541765560464,0.031226328651946,0.0758738306017302,NA,"80204",NA,NA,NA,NA,"Q86XK2","ENSG00000138081","FBXO11"
"LOC100131094",58.9233225304219,0.694996802765494,0.322691544539052,2.15374965513355,0.0312598097846388,0.0759454102359173,NA,NA,NA,NA,NA,NA,NA,NA,"LOC100131094"
"EOMES",81.983973958846,1.19044185098836,0.552761359308159,2.15362711401957,0.03126942616968,0.0759589997344522,NA,"8320",NA,NA,NA,NA,NA,"ENSG00000163508","EOMES"
"KLHDC4",468.624595951839,-0.347346401725344,0.161359946984461,-2.15261846707717,0.0313486759766138,0.0761288179652599,"KLHDC4","54758","GO:0005515",NA,"IPI",NA,"Q8TBB5","ENSG00000104731","KLHDC4"
"MGC16275",55.5899195110832,-0.43973756459082,0.204283489865635,-2.15258494399157,0.031351312855348,0.0761288179652599,"MGC16275","85001",NA,NA,NA,"12477932",NA,"ENSG00000246731","MGC16275"
