Human Influenza
Q14152 Influenza_target
Q13148 Influenza_target
Q13148 Influenza_target
Q13148 Influenza_target
Q9P0J0 Influenza_target
P50570 Influenza_target
P50570 Influenza_target
P68104 Influenza_target
P68104 Influenza_target
P05556 Influenza_target
P05556 Influenza_target
P63208 Influenza_target
P11940 Influenza_target
P11940 Influenza_target
Q9ULT8 Influenza_target
Q9ULT8 Influenza_target
Q9UBU9 Influenza_target
P62158 Influenza_target
O00459 Influenza_target
O00459 Influenza_target
Q9Y383 Influenza_target
P04406 Influenza_target
O95373 Influenza_target
P62269 Influenza_target
P02545 Influenza_target
P02545 Influenza_target
Q9H307 Influenza_target
Q9UJX2 Influenza_target
O00629 Influenza_target
O00629 Influenza_target
O00629 Influenza_target
Q9UKK6 Influenza_target
P62805 Influenza_target
P35579 Influenza_target
P35579 Influenza_target
Q13813 Influenza_target
Q13813 Influenza_target
Q7Z406 Influenza_target
O43707 Influenza_target
O43707 Influenza_target
O43707 Influenza_target
O43707 Influenza_target
O43707 Influenza_target
O43707 Influenza_target
P12814 Influenza_target
P12814 Influenza_target
P12814 Influenza_target
P61981 Influenza_target
O14980 Influenza_target
Q9UGI0 Influenza_target
Q12983 Influenza_target
Q15654 Influenza_target
O15226 Influenza_target
O95786 Influenza_target
P14625 Influenza_target
P14625 Influenza_target
P14625 Influenza_target
P14625 Influenza_target
Q8IWZ3 Influenza_target
P62258 Influenza_target
Q15365 Influenza_target
Q15365 Influenza_target
Q15365 Influenza_target
P04843 Influenza_target
P04843 Influenza_target
P04843 Influenza_target
P04843 Influenza_target
P04843 Influenza_target
Q92499 Influenza_target
Q92499 Influenza_target
Q92499 Influenza_target
Q9BUJ2 Influenza_target
Q9BUJ2 Influenza_target
Q9BUJ2 Influenza_target
Q9BUJ2 Influenza_target
Q9UJX3 Influenza_target
P51617 Influenza_target
P51617 Influenza_target
P51617 Influenza_target
Q05639 Influenza_target
P51153 Influenza_target
P51153 Influenza_target
P51153 Influenza_target
P51153 Influenza_target
P60468 Influenza_target
O00410 Influenza_target
O00410 Influenza_target
O00410 Influenza_target
O00410 Influenza_target
O00410 Influenza_target
O43719 Influenza_target
Q14318 Influenza_target
Q14318 Influenza_target
Q14318 Influenza_target
Q14318 Influenza_target
Q01085 Influenza_target
Q9H0U4 Influenza_target
P61106 Influenza_target
Q7KZ85 Influenza_target
Q7KZ85 Influenza_target
Q7KZ85 Influenza_target
P42336 Influenza_target
P07858 Influenza_target
Q16531 Influenza_target
Q16531 Influenza_target
Q16531 Influenza_target
Q16531 Influenza_target
Q16531 Influenza_target
Q16531 Influenza_target
P61006 Influenza_target
Q92621 Influenza_target
Q92621 Influenza_target
Q92621 Influenza_target
Q92621 Influenza_target
Q9HCE1 Influenza_target
Q9HCE1 Influenza_target
Q9HCE1 Influenza_target
P27824 Influenza_target
P27824 Influenza_target
P27824 Influenza_target
P34932 Influenza_target
P34932 Influenza_target
P34932 Influenza_target
P34932 Influenza_target
O95639 Influenza_target
Q96AE4 Influenza_target
Q96AE4 Influenza_target
Q96KR1 Influenza_target
Q96KR1 Influenza_target
Q96KR1 Influenza_target
Q96KR1 Influenza_target
Q9NY74 Influenza_target
Q659C4 Influenza_target
Q9P1Z2 Influenza_target
Q9P1Z2 Influenza_target
Q4G0J3 Influenza_target
P48960 Influenza_target
P19388 Influenza_target
Q9NP72 Influenza_target
Q9NP72 Influenza_target
P62937 Influenza_target
Q13637 Influenza_target
Q12933 Influenza_target
Q12933 Influenza_target
P09661 Influenza_target
P09661 Influenza_target
P09661 Influenza_target
P31946 Influenza_target
O75190 Influenza_target
O75190 Influenza_target
O75190 Influenza_target
Q9NTJ3 Influenza_target
O14828 Influenza_target
O14828 Influenza_target
O14828 Influenza_target
O14828 Influenza_target
Q7Z6Z7 Influenza_target
Q7Z6Z7 Influenza_target
Q7Z6Z7 Influenza_target
Q7Z6Z7 Influenza_target
P42704 Influenza_target
P42704 Influenza_target
P42704 Influenza_target
Q15084 Influenza_target
Q13263 Influenza_target
Q13263 Influenza_target
P61289 Influenza_target
O43390 Influenza_target
O43390 Influenza_target
O43390 Influenza_target
O43390 Influenza_target
O43390 Influenza_target
Q9UNE7 Influenza_target
Q9UNE7 Influenza_target
P55265 Influenza_target
P55265 Influenza_target
P55265 Influenza_target
P55265 Influenza_target
Q13509 Influenza_target
Q13509 Influenza_target
Q13509 Influenza_target
Q13509 Influenza_target
Q13509 Influenza_target
Q13509 Influenza_target
P68371 Influenza_target
P63244 Influenza_target
P80723 Influenza_target
O14744 Influenza_target
O14744 Influenza_target
O14744 Influenza_target
O14744 Influenza_target
O14744 Influenza_target
Q96PK6 Influenza_target
Q96PK6 Influenza_target
Q96PK6 Influenza_target
Q96PK6 Influenza_target
Q96PK6 Influenza_target
O00165 Influenza_target
O00165 Influenza_target
O00165 Influenza_target
O00165 Influenza_target
O14967 Influenza_target
O14967 Influenza_target
O14967 Influenza_target
O75947 Influenza_target
O60506 Influenza_target
O60506 Influenza_target
Q86X55 Influenza_target
Q9BQG0 Influenza_target
Q9BQG0 Influenza_target
O00567 Influenza_target
O00567 Influenza_target
O00567 Influenza_target
O00567 Influenza_target
Q9BUP3 Influenza_target
Q9BUP3 Influenza_target
Q9Y6D5 Influenza_target
Q9Y6D6 Influenza_target
O95347 Influenza_target
Q6P2Q9 Influenza_target
O95433 Influenza_target
Q96R06 Influenza_target
Q9NZI8 Influenza_target
Q07666 Influenza_target
Q9Y266 Influenza_target
Q92598 Influenza_target
Q92598 Influenza_target
Q92598 Influenza_target
Q92598 Influenza_target
Q92598 Influenza_target
O76031 Influenza_target
Q9Y230 Influenza_target
Q9Y230 Influenza_target
Q9Y230 Influenza_target
Q9Y230 Influenza_target
Q9Y230 Influenza_target
O00264 Influenza_target
O00264 Influenza_target
O00264 Influenza_target
Q13151 Influenza_target
P31948 Influenza_target
Q99848 Influenza_target
Q07065 Influenza_target
P27348 Influenza_target
P49755 Influenza_target
P49755 Influenza_target
P49755 Influenza_target
Q92616 Influenza_target
Q13435 Influenza_target
Q13435 Influenza_target
Q6P1M0 Influenza_target
Q6P1M0 Influenza_target
Q6P1M0 Influenza_target
Q12873 Influenza_target
P61964 Influenza_target
O14578 Influenza_target
Q9Y3F4 Influenza_target
Q9Y5B9 Influenza_target
Q9UHI6 Influenza_target
P09001 Influenza_target
Q99653 Influenza_target
Q99653 Influenza_target
Q99653 Influenza_target
Q8WWM7 Influenza_target
Q00610 Influenza_target
Q00610 Influenza_target
Q00610 Influenza_target
Q71DI3 Influenza_target
Q71DI3 Influenza_target
Q71DI3 Influenza_target
Q71DI3 Influenza_target
P21964 Influenza_target
P21964 Influenza_target
Q96FJ2 Influenza_target
Q9UKK3 Influenza_target
Q9UKK3 Influenza_target
Q32P51 Influenza_target
P33240 Influenza_target
P33240 Influenza_target
P33240 Influenza_target
Q12996 Influenza_target
Q12996 Influenza_target
Q12996 Influenza_target
Q12996 Influenza_target
Q5VTE0 Influenza_target
Q86U38 Influenza_target
P14868 Influenza_target
P14868 Influenza_target
Q08211 Influenza_target
O43143 Influenza_target
Q9H2U1 Influenza_target
Q9H2U1 Influenza_target
Q9H2U1 Influenza_target
Q05193 Influenza_target
Q05193 Influenza_target
Q14204 Influenza_target
Q14204 Influenza_target
Q14204 Influenza_target
Q14204 Influenza_target
Q14204 Influenza_target
Q14204 Influenza_target
Q14204 Influenza_target
Q14126 Influenza_target
Q14126 Influenza_target
Q96HS1 Influenza_target
P13639 Influenza_target
Q14232 Influenza_target
P55010 Influenza_target
Q15717 Influenza_target
P50402 Influenza_target
P50402 Influenza_target
Q14247 Influenza_target
Q14247 Influenza_target
P06733 Influenza_target
P06733 Influenza_target
P07437 Influenza_target
P84090 Influenza_target
P84090 Influenza_target
P22087 Influenza_target
P22087 Influenza_target
P22087 Influenza_target
O95573 Influenza_target
O95573 Influenza_target
O95573 Influenza_target
O95573 Influenza_target
O95573 Influenza_target
O95573 Influenza_target
O95573 Influenza_target
P49327 Influenza_target
P49327 Influenza_target
P49327 Influenza_target
P51991 Influenza_target
Q96QV6 Influenza_target
Q9Y678 Influenza_target
Q9Y678 Influenza_target
Q9Y678 Influenza_target
Q9UPN7 Influenza_target
Q9UPN7 Influenza_target
Q7L2E3 Influenza_target
Q13049 Influenza_target
Q13049 Influenza_target
O75643 Influenza_target
O75369 Influenza_target
O75369 Influenza_target
O75369 Influenza_target
Q14697 Influenza_target
Q14697 Influenza_target
Q96CS3 Influenza_target
Q96CS3 Influenza_target
Q96CS3 Influenza_target
Q29RF7 Influenza_target
Q6PKG0 Influenza_target
Q6PKG0 Influenza_target
Q9UPY3 Influenza_target
P42285 Influenza_target
P42285 Influenza_target
