Ensemble	H112	H122	H132	H111	H121	H131	H211	H221	H231	H212	H222	H232	H113	H123	H133	H213	H223	H233
ENSG00000007314	0	0	2	1	0	4	2	0	0	4	1	1	5	0	0	3	0	0
ENSG00000007341	479	254	72	380	186	130	203	158	127	485	157	150	1486	187	10	232	121	128
ENSG00000007350	0	6	12	0	6	10	0	1	16	0	1	16	0	2	1	0	0	7
ENSG00000007372	35	53	37	33	54	58	18	28	33	19	14	34	117	55	5	18	17	35
ENSG00000007376	842	188	10	672	124	21	546	221	76	763	248	94	2452	168	4	395	158	92
ENSG00000007384	1995	467	39	1712	430	57	1619	544	256	2527	606	213	6205	377	2	1288	426	211
ENSG00000007392	934	338	56	828	286	76	741	578	236	1358	499	281	2917	241	1	797	367	229
ENSG00000007402	4	9	2	7	8	2	5	10	4	10	5	9	32	5	0	7	8	6
ENSG00000007516	21	85	17	24	64	26	37	60	39	38	70	57	94	70	1	35	42	45
ENSG00000007520	985	289	22	849	271	49	567	304	114	962	244	122	2936	215	0	524	173	123
ENSG00000007541	1110	333	31	975	244	54	667	312	161	1050	351	157	3484	213	2	575	211	122
ENSG00000007545	282	303	72	236	256	130	202	248	159	353	256	182	807	262	9	229	166	143
ENSG00000007866	1497	623	122	1246	505	181	1002	678	369	1548	625	388	4688	472	12	856	505	356
ENSG00000007908	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000007923	1133	536	114	916	464	124	743	516	288	1311	506	328	3252	452	7	733	363	284
ENSG00000007933	14	1	2	22	1	2	55	0	1	139	5	1	84	0	0	80	6	2
ENSG00000007944	250	190	71	226	182	77	442	304	390	777	268	432	804	175	1	485	204	344
ENSG00000007952	5	1	0	5	2	1	4	3	2	10	0	0	15	0	0	7	1	0
ENSG00000007968	43	145	8	34	108	20	52	40	20	64	41	25	118	103	0	42	51	32
ENSG00000008018	4203	829	59	3620	681	115	2240	911	446	3966	859	440	12367	608	11	2446	627	416
ENSG00000008056	3	7	3	4	5	3	11	11	12	10	14	14	16	7	0	16	8	7
ENSG00000008083	507	442	62	413	384	105	636	595	265	1167	565	311	1595	334	1	634	431	249
ENSG00000008086	421	185	64	415	143	57	522	343	129	893	304	130	1539	188	2	513	235	135
ENSG00000008118	0	1	1	3	0	0	37	13	10	66	12	9	5	1	0	24	11	11
ENSG00000008128	92	83	18	85	77	24	83	81	62	95	84	59	302	83	1	56	68	59
ENSG00000008130	2179	589	115	1814	524	179	1095	578	239	1878	527	297	6508	481	15	1030	387	273
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	17	10	5	17	11	4	5	17	10	8	18	24	41	9	0	4	7	21
ENSG00000008256	3607	941	95	3193	732	186	1248	819	428	2295	749	537	11436	715	10	1311	544	420
ENSG00000008277	21	41	11	11	24	14	8	12	18	22	18	13	53	22	0	6	21	21
ENSG00000008282	1817	616	128	1519	498	202	669	389	271	1384	382	352	5539	526	6	929	362	312
ENSG00000008283	974	516	126	779	442	192	126	102	104	202	88	114	2757	392	8	126	73	101
ENSG00000008294	5050	2749	524	4044	2023	893	2411	1805	1367	4806	1681	1525	15202	2185	46	2941	1311	1301
ENSG00000008300	189	78	29	158	52	30	344	95	67	493	97	73	580	65	2	311	69	66
ENSG00000008311	729	171	64	606	127	80	675	212	209	1358	240	217	2261	138	7	775	190	220
ENSG00000008323	19	16	4	24	15	4	24	14	14	26	18	11	74	17	1	19	10	6
ENSG00000008324	254	81	8	221	76	20	152	33	35	274	41	19	665	66	1	160	35	28
ENSG00000008382	149	90	20	123	68	32	101	93	62	159	73	76	465	70	2	95	53	64
ENSG00000008394	3796	725	101	3318	642	151	1856	816	300	4076	832	375	12529	587	9	2259	697	352
ENSG00000008405	931	180	51	690	146	88	288	220	177	470	194	211	2750	143	5	321	180	183
ENSG00000008438	0	0	0	1	0	0	2	0	0	1	0	0	6	0	0	0	1	0
ENSG00000008441	2353	1206	291	2267	1130	441	1167	961	466	1533	956	527	7944	926	23	859	750	593
ENSG00000008513	1785	918	91	1461	747	165	3936	1175	461	6726	1039	539	5362	703	6	3739	819	388
ENSG00000008516	4	5	6	4	8	1	2	7	1	6	3	1	16	5	0	3	3	5
ENSG00000008517	135	13	7	105	9	8	125	20	9	188	13	11	375	9	0	90	13	12
ENSG00000008710	6954	1570	271	6062	1367	475	3430	1551	946	4876	1573	810	22112	1163	22	2754	1105	823
ENSG00000008735	34	10	4	21	12	0	7	9	3	18	19	1	85	12	0	4	9	4
ENSG00000008838	1120	538	69	1005	446	150	808	642	284	1385	522	288	3518	423	9	710	379	261
ENSG00000008853	405	262	39	406	205	82	329	251	170	516	235	187	1533	207	1	299	188	153
ENSG00000008869	1131	546	89	959	421	173	561	419	281	1035	405	283	3512	432	10	581	307	217
ENSG00000008952	5784	1429	126	4660	1126	196	2768	1430	679	6109	1301	870	17110	1229	4	4241	1099	703
ENSG00000008988	13972	3862	1114	12481	3117	1639	9894	4457	4741	17588	4242	4743	42031	3047	105	9674	3015	4015
ENSG00000009307	26794	3216	821	22928	2627	1321	12780	5638	4178	25089	5246	4909	82109	2683	82	15148	4323	3965
ENSG00000009335	4868	1909	216	4164	1544	397	2010	1684	952	3703	1618	1078	15157	1434	10	2287	1202	902
ENSG00000009413	6820	1762	411	5764	1345	620	1927	1416	959	3883	1447	1107	21232	1394	30	2367	1141	1006
ENSG00000009694	0	0	0	0	1	0	1	2	1	2	0	0	0	0	0	0	0	3
ENSG00000009709	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000009724	34	86	39	26	77	49	12	46	77	29	55	76	79	60	3	13	41	74
ENSG00000009765	4	7	2	0	7	5	1	3	2	4	3	6	7	6	0	3	6	7
ENSG00000009780	498	137	19	403	90	35	122	71	35	289	66	37	1449	124	2	163	57	22
ENSG00000009790	1	1	1	1	1	0	0	0	2	3	1	1	5	0	0	0	0	5
ENSG00000009830	646	624	84	624	481	147	340	474	243	493	478	288	1997	440	9	294	336	278
ENSG00000009844	2418	1303	161	2036	967	245	920	779	416	1818	742	501	7645	996	16	1180	567	415
ENSG00000009950	2	5	2	4	1	1	0	2	0	3	0	0	9	1	0	0	7	1
ENSG00000009954	4567	2414	371	3794	1866	631	2091	2055	1119	4216	1945	1245	13652	1908	29	2377	1450	1041
ENSG00000010017	1769	687	118	1591	571	193	1112	660	397	2105	648	493	5843	507	8	1254	516	382
ENSG00000010030	54	3	0	65	2	3	14	2	1	28	0	1	220	1	0	13	2	2
ENSG00000010072	527	253	47	378	207	56	213	178	118	438	179	141	1499	216	5	285	119	95
ENSG00000010165	1157	257	23	877	212	55	525	164	87	936	157	100	3309	214	0	562	116	82
ENSG00000010219	619	245	57	478	230	83	318	149	116	575	154	144	1739	205	5	315	125	135
ENSG00000010244	4747	2719	543	3922	2120	961	2790	2561	2061	5265	2530	2381	14634	2250	49	2834	2202	2042
ENSG00000010256	4971	1963	273	3999	1636	437	3341	1899	1147	5648	1837	1252	15177	1549	30	3059	1329	1050
ENSG00000010270	1659	347	39	1336	265	88	824	431	250	1772	379	278	4862	255	3	1007	333	231
ENSG00000010278	1984	539	49	1750	485	81	857	448	206	1589	416	235	6031	468	6	1058	312	238
ENSG00000010282	0	0	9	0	0	5	0	1	2	0	0	0	0	1	1	0	0	0
ENSG00000010292	1573	915	156	1323	782	285	912	1439	639	1635	1346	741	4827	774	10	913	1049	624
ENSG00000010295	830	315	78	803	259	124	570	366	230	880	374	278	2563	254	8	523	195	173
ENSG00000010310	36	18	3	22	15	5	24	19	9	39	10	18	123	15	0	18	7	12
ENSG00000010318	51	6	4	53	7	10	36	11	6	65	11	8	217	5	3	41	6	11
ENSG00000010319	1	4	1	0	1	7	4	3	8	2	6	8	1	2	4	4	3	7
ENSG00000010322	3418	1365	136	3112	1160	285	2715	1518	814	4491	1501	912	11068	1039	20	2408	1089	769
ENSG00000010327	7	30	17	0	24	30	3	27	34	5	20	36	10	26	1	1	25	23
ENSG00000010361	273	52	10	255	40	16	153	52	26	261	52	17	833	41	0	139	21	24
ENSG00000010379	0	46	22	0	37	37	3	20	51	3	14	63	0	30	4	0	9	51
ENSG00000010404	807	327	47	771	255	97	371	231	124	670	245	205	2833	267	1	451	218	183
ENSG00000010438	79	97	11	80	99	27	2	9	5	9	5	5	270	97	1	2	4	4
ENSG00000010539	337	175	26	279	140	33	125	100	57	259	90	61	1005	152	2	157	62	55
ENSG00000010610	27	2	1	17	0	13	696	201	70	1170	216	82	49	0	1	663	169	61
ENSG00000010626	200	19	29	147	24	54	99	50	89	233	45	80	566	24	2	111	28	69
ENSG00000010671	0	1	2	3	4	7	0	0	12	0	0	7	1	3	0	2	1	6
ENSG00000010704	685	120	33	529	98	47	241	144	96	459	144	106	2075	112	0	271	87	99
ENSG00000010803	758	227	48	668	214	83	607	287	159	1093	273	153	2443	193	1	556	205	110
ENSG00000010810	2301	306	36	1920	241	76	1154	287	153	2152	297	162	6899	228	3	1304	196	137
ENSG00000010818	1571	741	124	1325	579	198	645	350	194	1110	330	199	4911	642	7	678	264	180
ENSG00000010932	41	0	0	30	0	1	1	0	1	2	0	1	108	0	0	2	0	1
ENSG00000011007	1778	814	205	1542	665	324	1209	831	531	2086	749	659	5517	710	9	1247	613	601
ENSG00000011009	738	450	82	688	365	134	508	577	347	803	526	429	2387	371	4	400	409	334
ENSG00000011021	385	128	33	347	107	31	298	147	71	507	142	89	1382	90	2	251	123	77
ENSG00000011028	25042	7785	977	22154	6442	1750	11826	5578	3092	19095	5319	3129	78214	6229	92	10756	3769	2712
ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	0	0	0	1	2	0	1	0	0	0	0	0	6	0	0	1	0	2
ENSG00000011105	1883	208	22	1654	192	18	1298	326	174	2204	310	169	5802	135	0	1403	263	141
ENSG00000011114	1756	862	164	1540	702	292	848	834	582	1594	776	670	5803	745	9	903	681	575
ENSG00000011132	414	129	13	363	94	27	232	108	53	406	132	59	1185	91	0	203	58	56
ENSG00000011143	288	51	19	249	32	21	184	29	15	288	42	10	915	53	0	170	23	16
ENSG00000011198	1050	747	159	872	631	296	1270	490	532	2556	499	583	3141	623	18	1428	418	506
ENSG00000011201	95	33	0	81	15	3	5	16	12	18	21	9	294	22	0	6	16	10
ENSG00000011243	772	484	118	718	434	180	689	609	310	1089	503	355	2309	424	11	641	400	273
ENSG00000011258	479	298	76	404	204	115	354	178	145	570	203	160	1421	251	2	349	172	156
